session_id,start,end,label,confidence,detection_method,evidence,reviewer,review_status,reviewed_label,boundary_correct,review_notes
ses_20260701-164424-CHAITANYA0BCF,2026-07-01T16:44:24Z,2026-07-01T16:44:39Z,inventory_order_management,0.6,window_context,title:受発注在庫管理システム,,pending,,,
ses_20260701-171614-CHAITANYA0BCF,2026-07-01T17:18:52Z,2026-07-01T17:19:01Z,inventory_order_management,0.6,window_context,title:受発注在庫管理システム,,pending,,,
ses_20260701-173246-SIDDHIGUPTAB00B,2026-07-01T17:32:46Z,2026-07-01T17:32:58Z,inventory_order_management,0.6,window_context,title:受発注在庫管理システム,,pending,,,
ses_20260701-173246-SIDDHIGUPTAB00B,2026-07-01T17:45:19Z,2026-07-01T17:45:33Z,inventory_order_management,0.6,window_context,title:受発注在庫管理システム,,pending,,,
ses_20260701-173642-NEELA9BAF,2026-07-01T17:36:42Z,2026-07-01T17:36:53Z,unknown_or_unclassified,0.2,unclassified_gap,no_matching_rules,,pending,,,
ses_20260701-173642-NEELA9BAF,2026-07-01T17:39:44Z,2026-07-01T17:39:54Z,inventory_order_management,0.6,window_context,title:受発注在庫管理システム | title:在庫調整メモ,,pending,,,
ses_20260701-173642-NEELA9BAF,2026-07-01T17:39:54Z,2026-07-01T17:40:00Z,payroll_deduction_adjustment,0.6,window_context,title:給与,,pending,,,
ses_20260701-173642-NEELA9BAF,2026-07-01T17:46:43Z,2026-07-01T17:47:03Z,payroll_deduction_adjustment,0.6,window_context,title:給与,,pending,,,
ses_20260701-175258-LAPTOP-76QMG9DE,2026-07-01T17:52:58Z,2026-07-01T17:53:05Z,inventory_order_management,0.6,window_context,title:受発注在庫管理システム,,pending,,,
ses_20260701-175747-SIDDHIGUPTAB00B,2026-07-01T17:57:47Z,2026-07-01T17:58:28Z,inventory_order_management,0.6,window_context,title:受発注在庫管理システム,,pending,,,
ses_20260701-175747-SIDDHIGUPTAB00B,2026-07-01T18:05:02Z,2026-07-01T18:05:10Z,inventory_order_management,0.6,window_context,title:受発注在庫管理システム,,pending,,,
ses_20260701-175747-SIDDHIGUPTAB00B,2026-07-01T18:07:11Z,2026-07-01T18:07:18Z,inventory_order_management,0.6,window_context,title:受発注在庫管理システム | title:在庫調整メモ,,pending,,,
ses_20260701-180923-NEELA9BAF,2026-07-01T18:21:52Z,2026-07-01T18:22:03Z,unknown_or_unclassified,0.24,hybrid_neural_symbolic,no_matching_rules,,pending,,,
ses_20260701-181413-LAPTOP-76QMG9DE,2026-07-01T18:14:13Z,2026-07-01T18:14:26Z,payroll_deduction_adjustment,0.6,window_context,title:給与,,pending,,,
ses_20260701-181413-LAPTOP-76QMG9DE,2026-07-01T18:21:34Z,2026-07-01T18:21:46Z,inventory_order_management,0.6,window_context,title:受発注在庫管理システム,,pending,,,
ses_20260701-182634-NEELA9BAF,2026-07-01T18:29:13Z,2026-07-01T18:29:27Z,expense_settlement_approval,0.6,window_context,title:受発注在庫管理システム | title:expense_calc,,pending,,,
ses_20260701-182634-NEELA9BAF,2026-07-01T18:32:36Z,2026-07-01T18:32:42Z,payroll_deduction_adjustment,0.6,window_context,title:給与,,pending,,,
ses_20260701-182634-NEELA9BAF,2026-07-01T18:36:27Z,2026-07-01T18:36:34Z,expense_settlement_approval,0.6,window_context,title:受発注在庫管理システム | title:精算確認メモ,,pending,,,
ses_20260701-182634-NEELA9BAF,2026-07-01T18:36:45Z,2026-07-01T18:37:05Z,inventory_order_management,0.6,window_context,title:受発注在庫管理システム,,pending,,,
ses_20260701-183232-LAPTOP-76QMG9DE,2026-07-01T18:32:32Z,2026-07-01T18:32:48Z,inventory_order_management,0.6,window_context,title:受発注在庫管理システム,,pending,,,
ses_20260701-183232-LAPTOP-76QMG9DE,2026-07-01T18:33:50Z,2026-07-01T18:34:30Z,inventory_order_management,0.6,window_context,title:受発注在庫管理システム | title:精算確認メモ | title:在庫調整メモ,,pending,,,
ses_20260701-184201-LAPTOP-76QMG9DE,2026-07-01T18:42:01Z,2026-07-01T18:42:16Z,inventory_order_management,0.6,window_context,title:受発注在庫管理システム,,pending,,,
ses_20260701-184201-LAPTOP-76QMG9DE,2026-07-01T18:46:53Z,2026-07-01T18:47:01Z,payroll_deduction_adjustment,0.6,window_context,title:給与,,pending,,,
ses_20260701-184201-LAPTOP-76QMG9DE,2026-07-01T18:53:03Z,2026-07-01T18:53:12Z,inventory_order_management,0.6,window_context,title:受発注在庫管理システム | title:在庫調整メモ,,pending,,,
ses_20260701-190250-NEELA9BAF,2026-07-01T19:02:50Z,2026-07-01T19:02:59Z,inventory_order_management,0.6,window_context,title:受発注在庫管理システム,,pending,,,
ses_20260701-191537-LAPTOP-76QMG9DE,2026-07-01T19:25:26Z,2026-07-01T19:25:40Z,inventory_order_management,0.6,window_context,title:受発注在庫管理システム,,pending,,,
ses_20260701-192455-NEELA9BAF,2026-07-01T19:28:12Z,2026-07-01T19:28:51Z,inventory_order_management,0.6,window_context,title:受発注在庫管理システム | title:在庫調整メモ,,pending,,,
ses_20260701-192455-NEELA9BAF,2026-07-01T19:31:41Z,2026-07-01T19:32:22Z,inventory_order_management,0.6,window_context,title:受発注在庫管理システム | title:精算確認メモ | title:在庫調整メモ,,pending,,,
